0,2466,1
0,686,0
1,2058,1
1,2600,0
2,257,1
2,1797,1
2,773,1
2,1286,1
2,2058,1
2,1805,1
2,144,1
2,1045,1
2,2709,1
2,2466,1
2,2083,1
2,814,1
2,311,1
2,1721,1
2,2363,1
2,330,1
2,1994,1
2,1099,1
2,2387,1
2,853,1
2,601,1
2,2785,1
2,1776,1
2,1272,1
2,1657,1
2,2682,1
2,637,1
2,2175,1
2,237,0
2,1545,0
2,1130,0
2,1525,0
2,4,0
2,515,0
2,934,0
2,1638,0
2,1231,0
2,213,0
2,795,0
2,2351,0
2,21,0
2,1719,0
2,1337,0
2,1608,0
2,541,0
2,343,0
2,1483,0
2,1522,0
2,1653,0
2,1062,0
2,1674,0
2,1170,0
2,1574,0
2,1742,0
2,2104,0
2,1518,0
2,1545,0
2,489,0
2,1182,0
2,2787,0
3,1788,0
3,2227,0
5,2785,1
6,1537,1
6,1926,1
6,250,0
6,1484,0
8,1458,1
8,2395,1
8,764,1
8,1670,0
9,2575,1
10,2600,0
12,1458,1
12,350,0
12,1700,0
13,2741,1
13,1810,0
13,431,0
14,719,1
14,1074,0
14,1426,0
16,2091,1
17,1985,1
17,1645,0
18,1539,0
19,1742,1
19,1458,1
19,2365,1
19,2560,0
19,1302,0
19,993,0
19,2000,0
20,1985,1
20,1984,1
20,1515,1
20,1653,1
20,1544,0
20,468,0
20,1336,0
20,1672,0
20,711,0
20,838,0
21,1896,1
21,1611,1
21,628,0
21,575,0
22,2785,1
23,1611,1
24,1742,1
24,2732,0
25,1717,0
26,1385,1
26,2507,1
26,686,1
26,2319,1
26,226,0
26,2565,0
27,1611,1
28,864,1
28,748,1
28,2562,0
29,2319,1
29,887,0
31,1985,1
31,1654,1
31,1997,0
31,1666,0
32,3,1
32,2058,1
32,1742,1
32,2739,1
32,2179,0
32,2753,0
32,2733,0
33,2137,0
34,2395,1
35,2577,1
35,2197,1
35,2205,1
35,1566,1
35,286,1
35,814,1
35,52,1
35,1728,1
35,964,1
35,323,1
35,970,1
35,1500,1
35,2026,1
35,755,1
35,2036,1
35,2175,1
35,1609,0
35,1805,0
35,15,0
35,761,0
35,1701,0
35,2667,0
35,1435,0
35,2551,0
35,2747,0
35,590,0
35,612,0
35,1986,0
35,2264,0
37,2493,0
38,2055,1
38,1039,1
38,2168,1
38,1566,1
38,1825,1
38,1455,1
38,2224,1
38,1984,1
38,326,1
38,2260,1
38,119,1
38,1400,1
38,1534,0
38,102,0
38,1854,0
38,350,0
38,343,0
38,1995,0
38,325,0
38,871,0
38,1036,0
38,2732,0
38,164,0
39,1286,1
39,2574,1
39,2584,1
39,796,1
39,1052,1
39,285,1
39,819,1
39,2741,1
39,1979,1
39,62,1
39,1099,1
39,864,1
39,1892,1
39,615,1
39,2028,1
39,2288,1
39,1533,1
39,2234,0
39,1997,0
39,1178,0
39,2230,0
39,919,0
39,2460,0
39,243,0
39,930,0
39,829,0
39,1991,0
39,1619,0
39,2428,0
39,1485,0
39,1192,0
39,1897,0
39,1916,0
40,1538,1
40,1794,1
40,2436,1
40,907,1
40,273,1
40,166,1
40,1574,1
40,1966,1
40,830,1
40,2632,1
40,2382,1
40,1240,1
40,1892,1
40,2030,1
40,885,1
40,1531,1
40,2303,1
40,578,0
40,1086,0
40,2567,0
40,220,0
40,247,0
40,2562,0
40,638,0
40,2559,0
40,1741,0
40,494,0
40,2540,0
40,2227,0
40,2294,0
40,2425,0
40,660,0
40,1698,0
41,943,1
41,1124,0
42,518,1
42,1033,1
42,24,1
42,668,1
42,2716,1
42,1180,1
42,419,1
42,1698,1
42,1316,1
42,683,1
42,2732,1
42,812,1
42,62,1
42,320,1
42,2755,1
42,970,1
42,1484,1
42,1615,1
42,2639,1
42,1360,1
42,360,1
42,489,1
42,2288,1
42,1019,1
42,2046,1
42,1264,0
42,1162,0
42,2332,0
42,1214,0
42,1001,0
42,41,0
42,1433,0
42,2619,0
42,1799,0
42,1994,0
42,2121,0
42,1534,0
42,2699,0
42,2607,0
42,1002,0
42,38,0
42,1118,0
42,1178,0
42,2619,0
42,2628,0
42,2355,0
42,1294,0
42,1221,0
42,2171,0
43,1985,1
43,326,1
43,2765,1
43,242,1
43,281,1
43,1020,1
43,2559,1
43,1545,0
43,2479,0
43,1540,0
43,1146,0
43,1023,0
43,1218,0
44,1985,1
44,615,1
44,872,1
44,489,1
44,2028,1
44,1940,1
44,721,0
44,323,0
44,1474,0
44,751,0
44,2473,0
45,408,1
45,31,1
45,1568,1
45,2617,1
45,2492,1
45,455,1
45,1225,1
45,715,1
45,1875,1
45,346,1
45,1502,1
45,994,1
45,1764,1
45,1649,1
45,2170,1
45,1532,1
45,2085,0
45,913,0
45,2512,0
45,504,0
45,606,0
45,2664,0
45,2226,0
45,196,0
45,1144,0
45,571,0
45,2019,0
45,2278,0
45,1464,0
45,2608,0
45,8,0
45,2304,0
45,1446,0
45,677,0
45,2088,0
46,672,1
46,152,0
46,1295,0
48,1286,1
48,258,0
48,2696,0
48,275,0
48,1524,0
49,1183,1
49,2785,1
49,1664,1
49,1809,1
49,1045,1
49,63,1
49,1462,0
49,1566,0
49,2568,0
49,817,0
50,1568,1
50,2738,0
51,195,1
51,2026,1
51,2485,1
51,1400,1
51,2044,1
51,1976,0
51,656,0
51,1766,0
51,1014,0
51,310,0
51,1703,0
51,1868,0
52,517,1
52,1808,1
52,1809,1
52,1566,1
52,1188,1
52,2210,1
52,1588,1
52,1979,1
52,1985,1
52,2755,1
52,326,1
52,970,1
52,1360,1
52,89,1
52,1244,1
52,2268,1
52,478,1
52,1119,1
52,1249,1
52,107,1
52,758,1
52,374,1
52,2691,0
52,965,0
52,224,0
52,1781,0
52,1186,0
52,698,0
52,413,0
52,2081,0
52,1441,0
52,1727,0
52,1189,0
52,1496,0
52,2143,0
52,294,0
52,1864,0
52,154,0
52,1265,0
52,408,0
53,326,1
53,61,0
53,1597,0
53,1557,0
55,896,1
55,2048,1
55,2054,1
55,2312,1
55,390,1
55,396,1
55,1045,1
55,1941,1
55,2466,1
55,1061,1
55,38,1
55,2088,1
55,298,1
55,943,1
55,1074,1
55,565,1
55,2103,1
55,2744,1
55,698,1
55,1467,1
55,1340,1
55,1595,1
55,1984,1
55,2619,1
55,710,1
55,1743,1
55,1871,1
55,466,1
55,1113,1
55,1504,1
55,994,1
55,2531,1
55,1381,1
55,1642,1
55,499,1
55,1651,1
55,1013,1
55,1783,1
55,1532,1
55,587,0
55,1251,0
55,45,0
55,1705,0
55,1123,0
55,2566,0
55,1740,0
55,79,0
55,1277,0
55,2085,0
55,1904,0
55,1604,0
55,2525,0
55,1429,0
55,879,0
55,1303,0
55,573,0
55,696,0
55,2560,0
55,2705,0
55,1963,0
55,1115,0
55,1126,0
55,178,0
55,967,0
55,1333,0
55,883,0
55,23,0
55,1804,0
55,2023,0
55,2424,0
55,39,0
55,1431,0
55,2210,0
55,673,0
55,412,0
55,1517,0
55,1227,0
55,1324,0
55,100,0
55,2106,0
56,1697,1
56,501,1
56,1045,1
56,1080,0
56,638,0
56,2710,0
56,336,0
57,1179,0
58,1037,0
59,2755,1
60,1131,1
60,45,1
60,1840,1
60,1566,1
60,1523,0
60,1782,0
61,1566,1
62,206,1
63,1840,1
63,475,0
64,1589,1
64,382,1
65,177,1
65,2211,1
65,1852,1
65,2546,0
65,599,0
66,943,1
66,2673,0
67,2224,1
68,1320,1
68,758,1
68,447,0
68,1926,0
69,1852,1
69,469,0
70,1183,1
70,577,0
71,2704,1
71,993,1
71,2660,0
71,767,0
72,2494,1
72,2443,1
72,1517,1
72,2224,1
72,1882,1
72,441,0
72,1866,0
72,14,0
72,1796,0
72,1066,0
73,1427,1
73,2391,0
74,2466,1
74,1206,1
74,1052,0
75,994,1
75,1299,1
75,1427,1
75,661,1
75,1197,0
75,75,0
75,2219,0
75,30,0
75,2315,0
76,1598,0
77,2091,1
77,2590,0
78,424,0
80,1427,1
81,1920,1
81,2633,1
81,785,1
81,2546,1
81,2133,1
81,859,0
81,1460,0
81,393,0
81,1748,0
82,501,1
82,832,0
83,478,1
83,717,0
84,224,1
84,2349,0
85,993,1
85,743,0
85,1338,0
85,976,0
87,478,1
87,975,0
88,1427,1
89,2268,1
89,2133,1
89,1866,0
90,1851,0
91,1030,1
91,1016,0
91,445,0
92,672,1
92,2307,1
92,25,1
92,1629,1
92,1298,0
92,264,0
92,1310,0
93,2557,1
94,2557,1
94,1217,0
95,2274,0
97,382,1
97,943,1
97,1589,1
97,631,1
97,246,1
97,478,1
97,2101,0
97,1947,0
97,46,0
97,2348,0
97,2167,0
97,1141,0
98,2557,1
98,985,0
99,2557,1
99,2654,0
100,287,0
101,2764,1
101,2557,1
101,1820,0
101,2669,0
101,2139,0
102,1611,0
103,1468,0
104,1320,1
104,2557,1
104,758,1
104,1005,0
104,1734,0
104,25,0
105,984,1
105,52,1
105,110,1
105,552,0
105,1235,0
107,1290,0
108,2557,1
108,1790,0
109,1568,1
109,609,1
109,2755,0
109,196,0
110,2307,1
110,2064,0
111,2764,1
111,1967,0
111,352,0
112,2081,1
112,1825,1
112,758,1
112,2747,1
112,1692,1
112,2764,0
112,761,0
112,1649,0
112,1064,0
112,211,0
113,969,1
113,1449,1
113,2059,1
113,2676,1
113,1271,1
113,2175,1
113,575,1
