2792	2058
2792	2466
2792	2058
2792	144
2792	667
2792	948
2792	858
2792	2466
2792	2785
2792	1926
2792	1458
2792	1458
2792	2575
2792	758
2792	1458
2792	1728
2792	1458
2792	2741
2792	285
2792	719
2792	2785
2792	2091
2792	1742
2792	1985
2792	2466
2792	2091
2792	2260
2792	864
2792	1896
2792	1611
2792	2785
2792	1742
2792	1789
2792	2319
2792	2507
2792	686
2792	1385
2792	1611
2792	2675
2792	864
2792	2319
2792	943
2792	1742
2792	1985
2792	2058
2792	2632
2792	1930
2792	2395
2792	1566
2793	1611
2793	1611
2792	1458
2792	1566
2792	962
2792	1611
2793	943
2792	970
2792	2224
2793	1985
2793	615
2792	1568
2793	672
2792	1320
2792	10
2793	1045
2793	2785
2793	1183
2793	1840
2792	1985
2793	1566
2793	1458
2793	1840
2793	672
2792	943
2792	1045
2792	501
2792	1568
2793	1840
2793	1840
2793	2755
2793	1131
2793	1840
2793	1566
2793	206
2793	1840
2793	382
2792	177
2793	943
2792	1852
2792	2224
2793	1320
2793	1852
2793	1183
2793	2704
2793	993
2793	2494
2793	2224
2793	382
2793	1427
2793	1206
2793	1427
2793	2224
2793	2091
2793	1611
2793	2466
2793	1427
2793	1427
2792	2133
2793	501
2793	478
2793	224
2793	1930
2793	1455
2793	1567
2793	664
2793	993
2792	478
2793	1427
2793	2133
2793	2575
2793	2731
2792	672
2792	2307
2793	2557
2793	1035
2792	2557
2793	943
2793	1455
2793	2764
2793	2575
2793	2557
2793	609
2793	52
2793	1427
2793	2557
2793	2557
2793	1568
2793	609
2793	2307
2793	2764
2793	382
2793	1427
2793	1427
2793	306
2793	1271
2793	1896
2793	1567
2793	1568
2793	1271
2793	2794
2793	2795
2792	758
2792	1825
2793	1449
2793	2760
2793	1321
2793	1321
2793	2557
2793	1321
2793	2466
2793	1321
2793	2704
2793	1840
2793	206
2793	1320
2793	1320
2793	206
2793	1035
2793	2785
2793	2241
2793	470
2793	2557
2793	904
2793	2241
2793	2241
2793	904
2793	672
2793	1427
2793	948
2792	1725
2793	382
2793	1321
